,City,Country,lng,lat,Temp,Humidity,Cloudiness,Wind Speed,URL
360,jamestown,sh,-6.52506824694359,-10.698898760656505,73.78,100,88,10.2,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=jamestown,sh"
361,kongolo,cd,27.509461713823725,-4.929203278265291,70.9,89,76,2.71,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=kongolo,cd"
362,lorengau,pg,150.246279472244,7.431250747550266,83.23,99,48,11.65,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=lorengau,pg"
363,vaini,to,-173.39688234014378,-82.8545105890101,86,74,40,24.16,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=vaini,to"
364,rikitea,pf,-116.19426023279573,-39.50244049485964,76.3,100,56,9.75,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=rikitea,pf"
365,mana,gf,-53.02234753181884,8.075855348787783,76.21,91,80,3.04,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=mana,gf"
366,dikson,ru,87.40854026868465,82.04355977140645,-7.86,95,0,19.26,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=dikson,ru"
367,mataura,pf,-154.44559882958825,-64.25707053588106,No Data Avaiable,No Data Avaiable,No Data Avaiable,No Data Avaiable,No Data Avaiable
368,samarai,pg,152.74172889617478,-11.160162685211219,82.24,100,56,14.79,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=samarai,pg"
369,busselton,au,105.56161105288231,-50.52246712136707,68.2,100,0,11.43,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=busselton,au"
370,attawapiskat,ca,-86.4667734506227,54.06395570215315,No Data Avaiable,No Data Avaiable,No Data Avaiable,No Data Avaiable,No Data Avaiable
371,stafford,gb,-2.203206548477084,52.80553168292187,38.75,80,75,18.34,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=stafford,gb"
372,flinders,au,132.92318621885016,-32.960394503126686,78.8,54,0,8.05,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=flinders,au"
373,amderma,ru,57.45110804530978,71.92841707780738,No Data Avaiable,No Data Avaiable,No Data Avaiable,No Data Avaiable,No Data Avaiable
374,cartagena,co,-76.26393260993633,11.43901939325896,69.01,95,64,1.92,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=b7f5676635f18ef33d91fd505a223312&q=cartagena,co"
